Exp.Grp,Replicate,biosynthetic process    ,carbohydrate metabolic process   ,catabolic process    ,cell communication    ,cell division    ,cell motility    ,cellular amino acid metabolic process,cellular component organization   ,cellular respiration    ,chemotaxis     ,cofactor metabolic process   ,conjugation     ,DNA metabolic process   ,electron transport chain   ,generation of precursor metabolites and energy,homeostatic process    ,lipid metabolic process   ,nitrogen compound metabolic process  ,nucleotide metabolic process   ,oxidation-reduction process    ,phosphorylation     ,protein metabolic process   ,response to stress   ,RNA metabolic process   ,signal transduction    ,small molecule metabolic process  ,sporulation     ,sulfur compound metabolic process  ,"transcription, DNA-templated    ",translation     ,transport     ,transposition     ,cofactor binding    ,enzyme regulator activity   ,hydrolase activity    ,isomerase activity    ,ligase activity    ,lyase activity    ,metal ion binding   ,nucleic acid binding   ,nucleic acid binding transcription factor activity,nucleotide binding    ,oxidoreductase activity    ,phosphorelay response regulator activity  ,receptor activity    ,"transcription factor activity, protein binding ",transferase activity    ,transporter activity    ,unfolded protein binding   ,ATP-binding cassette (ABC) transporter complex,cell wall    ,chromosome     ,cytoplasm     ,DNA polymerase complex   ,membrane     ,periplasmic space    ,ribosome
0,1,0.0734368514,0.0224297925,0.0155154203,0.0015271313,0.0016670975,0.0005323715,0.0391270108,0.0105851525,0.0024902320,0.0005209159,0.0144723389,0.0008360481,0.0309887675,0.0029392903,0.0043064602,0.0012053340,0.0097651421,0.0325158988,0.0189487580,0.0503988724,0.0043658208,0.0142463518,0.0169511153,0.0248708697,0.0007679396,0.0368663067,0.0002670189,0.0094745873,0.0045915997,0.0066977578,0.0515523439,0.0036391213,0.0163410543,0.0002457740,0.0636896216,0.0133069952,0.0306788423,0.0156418481,0.0242239426,0.0377602575,0.0022890306,0.0669700795,0.0522396780,0.0002391089,0.0003826159,0.0011878382,0.0652719479,0.0323621859,0.0014979716,0.0037905431,0.0001882879,0.0014059105,0.0209630633,0.0008235511,0.0314182471,0.0027320487,0.0058498375
0,2,0.0736409305,0.0227293178,0.0155256458,0.0015035552,0.0016016996,0.0005016036,0.0389367427,0.0105202824,0.0024990196,0.0005225299,0.0143232202,0.0008399820,0.0311017240,0.0029443314,0.0043237936,0.0012183296,0.0098535703,0.0321850790,0.0188711345,0.0504223557,0.0044141952,0.0141112367,0.0170779593,0.0246664661,0.0007696696,0.0365195450,0.0002636715,0.0095177030,0.0044857632,0.0067391080,0.0517679172,0.0037566907,0.0164346846,0.0002132391,0.0638354908,0.0133162463,0.0303795572,0.0156593649,0.0240549994,0.0378019091,0.0022679932,0.0669455585,0.0521801655,0.0002366765,0.0003708142,0.0011971940,0.0655068749,0.0325314093,0.0015372465,0.0038449997,0.0001839422,0.0013671156,0.0207720803,0.0008127778,0.0317071221,0.0028164717,0.0058712940
0,3,0.0737467369,0.0224627787,0.0154717309,0.0014943735,0.0016363122,0.0004892662,0.0390510666,0.0106435489,0.0024605456,0.0005428280,0.0142233295,0.0009068421,0.0306678247,0.0028976921,0.0042033633,0.0011878354,0.0098075731,0.0323204115,0.0187723723,0.0506673797,0.0043382978,0.0142760673,0.0167141581,0.0246011296,0.0007881821,0.0366387266,0.0002610107,0.0094662198,0.0043834133,0.0066828616,0.0524110215,0.0036520891,0.0163660066,0.0002249595,0.0639846912,0.0133370882,0.0304041360,0.0154358857,0.0244284959,0.0374664621,0.0023583662,0.0666945051,0.0524785918,0.0002472082,0.0003726664,0.0011905135,0.0651125786,0.0328218321,0.0014521421,0.0038397613,0.0001757238,0.0013763316,0.0209865337,0.0008126969,0.0320338560,0.0027129039,0.0058190749
1,1,0.0727662992,0.0209662817,0.0156275865,0.0014581384,0.0015495623,0.0006401789,0.0388530747,0.0107728260,0.0027479975,0.0007064771,0.0142072423,0.0007801653,0.0309745668,0.0026679752,0.0041919895,0.0013320873,0.0100317218,0.0322084737,0.0185643439,0.0501727554,0.0041617964,0.0139564070,0.0170090807,0.0239712376,0.0010195989,0.0364908314,0.0003053096,0.0092686589,0.0045388938,0.0065198168,0.0536101277,0.0037711859,0.0167812598,0.0002613923,0.0634689251,0.0131815203,0.0302011581,0.0158630085,0.0246912277,0.0375843296,0.0025138424,0.0658463706,0.0523791768,0.0003196672,0.0005914054,0.0012691674,0.0642258649,0.0343733003,0.0016272622,0.0036934861,0.0001729243,0.0013523568,0.0204916371,0.0007419488,0.0335481621,0.0033144883,0.0056634297
1,2,0.0729117817,0.0227582359,0.0162924943,0.0015339007,0.0015516979,0.0004947636,0.0385288258,0.0100218550,0.0025367758,0.0005343625,0.0143917478,0.0007190090,0.0305674476,0.0028740337,0.0043298489,0.0011948630,0.0100062824,0.0324862138,0.0185878948,0.0511862313,0.0043572122,0.0139256822,0.0164804777,0.0235640065,0.0006869739,0.0377446344,0.0002825314,0.0093026236,0.0044889119,0.0064795345,0.0524364883,0.0040226239,0.0170895887,0.0002496065,0.0633286289,0.0132298097,0.0307761204,0.0157185329,0.0254342752,0.0368994874,0.0023372241,0.0659125674,0.0532206797,0.0002229106,0.0003902047,0.0012551512,0.0652100209,0.0333676227,0.0014898525,0.0038675653,0.0001341468,0.0013525911,0.0203037724,0.0007801870,0.0319578579,0.0025670311,0.0056245990
1,3,0.0726195576,0.0222270077,0.0157333649,0.0014603649,0.0016911831,0.0004707504,0.0389648239,0.0103126347,0.0025184406,0.0005404834,0.0141023769,0.0007600680,0.0312327324,0.0026123363,0.0040686740,0.0013825777,0.0097793577,0.0318825841,0.0186507034,0.0501962802,0.0042609165,0.0143103040,0.0173433695,0.0244546470,0.0007208564,0.0361316312,0.0003261976,0.0093329821,0.0045012727,0.0067568899,0.0529311261,0.0036702000,0.0165595626,0.0002314541,0.0654345200,0.0133480317,0.0304777513,0.0155182314,0.0247797848,0.0376235773,0.0024209416,0.0662424897,0.0524656745,0.0002083510,0.0004785927,0.0011877917,0.0649427861,0.0336227286,0.0014662996,0.0035650707,0.0001536668,0.0013469693,0.0204150107,0.0008177195,0.0323355304,0.0025366686,0.0058741004
2,1,0.0722898796,0.0207788055,0.0156344620,0.0015268493,0.0014011138,0.0006823220,0.0389570269,0.0108613881,0.0028291557,0.0007845219,0.0141574404,0.0007425394,0.0308206863,0.0026349335,0.0041834102,0.0013631599,0.0101156682,0.0318829714,0.0183595095,0.0499935542,0.0040812103,0.0141451425,0.0169367684,0.0239777467,0.0011256830,0.0365122869,0.0002883648,0.0094028134,0.0046536993,0.0064466500,0.0539812580,0.0036306403,0.0165669829,0.0002444740,0.0638963430,0.0129293455,0.0301608397,0.0158358933,0.0244215317,0.0378300717,0.0023480529,0.0660955488,0.0520649041,0.0003481581,0.0006185001,0.0013027305,0.0641003187,0.0348238685,0.0016341380,0.0036859809,0.0001730189,0.0014433083,0.0204130487,0.0007052216,0.0342166061,0.0033560576,0.0056033949
2,2,0.0722736675,0.0211981697,0.0161546283,0.0015161259,0.0014074898,0.0006509477,0.0389373647,0.0104881674,0.0028295369,0.0006689813,0.0141798406,0.0006702850,0.0304111661,0.0026637581,0.0043367546,0.0013103691,0.0100936009,0.0320895944,0.0183949228,0.0505127626,0.0041212205,0.0143623493,0.0167430017,0.0236061983,0.0009664271,0.0370425332,0.0003200421,0.0093881178,0.0045548960,0.0063628186,0.0539537036,0.0036686424,0.0168446851,0.0002403031,0.0635601801,0.0130035285,0.0302903627,0.0159579969,0.0245734945,0.0373199899,0.0023826078,0.0656153585,0.0524619122,0.0003176521,0.0005190635,0.0013268818,0.0645231308,0.0348148406,0.0015845667,0.0036062853,0.0001744696,0.0014074898,0.0202717207,0.0007137394,0.0339644369,0.0031050381,0.0055421812
2,3,0.0725612585,0.0217384395,0.0156749828,0.0014454155,0.0015805922,0.0005707929,0.0388427353,0.0103162244,0.0025863658,0.0006457969,0.0141897346,0.0007527941,0.0303355051,0.0027514169,0.0041461942,0.0013049420,0.0099433233,0.0321421685,0.0184263997,0.0508329890,0.0042858202,0.0141649452,0.0169790773,0.0240783940,0.0009155146,0.0363184491,0.0003078553,0.0093591822,0.0044762964,0.0064452566,0.0536676731,0.0035046348,0.0166332963,0.0002606070,0.0645445204,0.0130415806,0.0303901690,0.0156309127,0.0251119233,0.0371320515,0.0024766142,0.0657526352,0.0529612797,0.0002722602,0.0005140103,0.0012360824,0.0654053710,0.0340227766,0.0015532602,0.0036084538,0.0001447111,0.0013458340,0.0203828593,0.0007644473,0.0330691244,0.0028323534,0.0056216961
3,1,0.0725514482,0.0213799336,0.0157733091,0.0015170262,0.0014515892,0.0006748992,0.0386779675,0.0106268821,0.0026683752,0.0007647147,0.0142396029,0.0006935038,0.0303835078,0.0027524168,0.0041952383,0.0012937706,0.0100022368,0.0322672806,0.0183336919,0.0507076818,0.0041759922,0.0139222549,0.0167020440,0.0237647485,0.0010685904,0.0370702703,0.0002643141,0.0094706147,0.0044518540,0.0065056346,0.0537793713,0.0036563454,0.0168893734,0.0002638864,0.0632735091,0.0131186202,0.0301951092,0.0159105985,0.0248468111,0.0372274474,0.0024130426,0.0657939026,0.0527422163,0.0003293234,0.0005530067,0.0012559198,0.0645071889,0.0344925661,0.0015813940,0.0035579761,0.0001618817,0.0013957753,0.0204293864,0.0007266500,0.0337567207,0.0031076156,0.0056829676
